давление 1E+5 Па.,   время 0 c.
давление 8,622E-1 Па.,   время 600 c.
давление 8,529E-1 Па.,   время 601 c.
давление 8,437E-1 Па.,   время 602 c.
давление 8,346E-1 Па.,   время 603 c.
давление 8,256E-1 Па.,   время 604 c.
давление 8,167E-1 Па.,   время 605 c.
давление 8,08E-1 Па.,   время 606 c.
давление 7,993E-1 Па.,   время 607 c.
давление 7,908E-1 Па.,   время 608 c.
давление 7,824E-1 Па.,   время 609 c.
давление 7,742E-1 Па.,   время 610 c.
давление 7,66E-1 Па.,   время 611 c.
давление 7,579E-1 Па.,   время 612 c.
давление 7,499E-1 Па.,   время 613 c.
давление 7,421E-1 Па.,   время 614 c.
давление 7,343E-1 Па.,   время 615 c.
давление 7,266E-1 Па.,   время 616 c.
давление 7,191E-1 Па.,   время 617 c.
давление 7,116E-1 Па.,   время 618 c.
давление 7,042E-1 Па.,   время 619 c.
давление 6,97E-1 Па.,   время 620 c.
давление 6,898E-1 Па.,   время 621 c.
давление 6,827E-1 Па.,   время 622 c.
давление 6,757E-1 Па.,   время 623 c.
давление 6,688E-1 Па.,   время 624 c.
давление 6,619E-1 Па.,   время 625 c.
давление 6,552E-1 Па.,   время 626 c.
давление 6,485E-1 Па.,   время 627 c.
давление 6,419E-1 Па.,   время 628 c.
давление 6,354E-1 Па.,   время 629 c.
давление 6,29E-1 Па.,   время 630 c.
